12	380	15448	-355	210	-62
64	360	15476	-370	223	-76
28	432	15520	-369	216	-68
108	360	15460	-385	196	-64
96	368	15572	-354	203	-74
-76	268	15592	-369	181	-60
4	256	15512	-357	181	-51
100	340	15592	-384	172	-56
40	328	15568	-367	165	-45
76	268	15560	-398	168	-87
56	336	15588	-385	153	-68
76	408	15420	-377	132	-53
92	252	15484	-380	155	-68
-20	224	15528	-378	146	-56
124	344	15568	-382	142	-78
24	392	15444	-377	156	-83
92	264	15504	-370	149	-56
12	360	15476	-383	143	-53
44	324	15596	-379	145	-69
0	368	15440	-371	171	-68
64	220	15452	-358	155	-76
84	368	15512	-353	149	-70
100	376	15432	-359	185	-58
76	344	15476	-370	175	-85
88	392	15636	-364	185	-67
-60	320	15624	-359	190	-64
144	240	15520	-372	172	-63
-20	224	15652	-372	194	-76
44	268	15632	-372	197	-58
80	328	15548	-371	215	-59
-60	316	15480	-345	184	-73
60	316	15468	-360	187	-81
-64	360	15420	-348	170	-63
-8	284	15408	-347	180	-73
20	368	15680	-362	201	-74
108	376	15460	-351	185	-60
76	472	15512	-370	182	-73
0	300	15588	-370	170	-47
0	332	15496	-362	187	-70
160	464	15584	-376	130	-50
36	352	15512	-391	157	-68
44	252	15472	-395	144	-59
16	308	15620	-373	152	-57
120	364	15512	-398	144	-74
-32	412	15548	-363	160	-60
144	288	15416	-346	155	-68
32	364	15400	-383	165	-53
108	248	15460	-352	167	-59
8	332	15480	-364	154	-68
-20	320	15556	-370	161	-60
16	384	15600	-353	153	-79
-8	340	15528	-381	170	-75
64	236	15408	-360	172	-76
36	392	15468	-346	174	-57
120	304	15492	-368	162	-59
8	276	15408	-374	162	-81
-20	284	15484	-388	171	-94
-92	344	15492	-386	180	-90
20	348	15348	-402	165	-76
76	292	15668	-373	175	-70
-72	308	15288	-376	169	-50
-40	404	15492	-378	190	-80
4	320	15372	-344	173	-83
-96	360	15512	-379	190	-74
40	432	15548	-366	164	-77
-116	420	15644	-368	212	-68
-8	368	15540	-370	192	-72
96	356	15632	-367	198	-80
0	388	15560	-356	200	-71
-60	364	15596	-356	193	-87
-60	292	15580	-358	172	-74
-32	348	15500	-395	209	-60
-60	396	15536	-387	189	-67
8	344	15492	-371	189	-80
-24	388	15568	-374	193	-60
-56	320	15432	-386	202	-81
0	388	15424	-370	197	-65
40	340	15440	-385	183	-79
32	404	15556	-383	194	-61
-20	352	15624	-373	166	-57
28	216	15624	-389	185	-74
-104	404	15504	-377	174	-69
16	380	15532	-374	175	-65
68	296	15456	-390	176	-67
-64	384	15484	-357	168	-47
12	332	15532	-376	179	-74
52	276	15468	-383	169	-51
16	388	15520	-388	149	-75
-12	248	15588	-377	171	-88
-32	272	15420	-361	172	-72
-60	392	15428	-377	155	-79
-128	388	15260	-376	146	-63
96	420	15448	-374	151	-78
-12	456	15644	-382	131	-74
104	364	15676	-389	175	-64
-12	356	15580	-360	136	-74
148	388	15352	-371	164	-67
-64	324	15564	-367	159	-62
16	304	15488	-393	164	-60
104	380	15420	-372	176	-69
12	392	15472	-381	158	-79
120	296	15660	-364	180	-79
56	308	15688	-356	162	-79
44	448	15532	-358	167	-65
132	416	15600	-343	168	-64
108	312	15520	-382	170	-76
-56	404	15576	-381	180	-67
152	404	15576	-375	162	-77
64	352	15464	-373	191	-85
-36	484	15496	-372	141	-72
188	272	15580	-380	170	-48
